id,title,industry,subsidy_amount,link,description
1,PMEGP Loan Scheme,Manufacturing,Subsidy up to 35%,"https://kviconline.gov.in/","Loans for new manufacturing units up to 50 Lakhs. Best for small factories."
2,PM Vishwakarma,Artisan,Loan 3 Lakhs @ 5%,"https://pmvishwakarma.gov.in/","Low interest loans for carpenters, tailors, blacksmiths, and 18 other trades."
3,MUDRA Loan,Business,Loan up to 10 Lakhs,"https://www.mudra.org.in/","Collateral-free loans for expanding existing small businesses."
4,Stand-Up India,SC/ST Women,Loan 10L to 1Cr,"https://www.standupmitra.in/","Big ticket loans for Green field projects by SC/ST or Women entrepreneurs."
5,PLI Textile Scheme,Textile,Incentives on Sales,"https://pli.texmin.gov.in/","Production Linked Incentive for Man Made Fabrics and Technical Textiles."
6,TUF Scheme (ATUFS),Textile,15% Capital Subsidy,"https://txcindia.gov.in/","One-time subsidy on purchasing new machinery for textile units."
7,PM Kisan Sampada,Agriculture,Grant up to 5 Cr,"https://mofpi.nic.in/","For setting up Cold Chains, Food Processing units, and Agro clusters."
8,Credit Guarantee (CGTMSE),MSME,Guarantee Cover,"https://www.cgtmse.in/","Govt gives guarantee to bank for your loan if you have no collateral."
9,FAME II EV Subsidy,Auto,40% Cost Subsidy,"https://fame2.heavyindustries.gov.in/","Subsidy on buying Commercial Electric Vehicles (3-Wheelers/4-Wheelers)."
10,Startup India Seed Fund,Startup,Grant 20 Lakhs,"https://seedfund.startupindia.gov.in/","Free money (Grant) for building prototypes and MVP for tech startups."
11,National Livestock Mission,Farming,50% Subsidy,"https://nlm.udyamimitra.in/","Subsidy for Goat farming, Poultry, and Piggery infrastructure."
12,Rooftop Solar Subsidy,Solar,Subsidy 40%,"https://solarrooftop.gov.in/","Get money back for installing solar panels on your home or factory roof."
13,Mahila Samman Savings,Women,7.5% Interest,"https://www.indiapost.gov.in/","Special high-interest savings certificate scheme for women."
14,Ambedkar Social Innovation,SC/ST,Equity Funding,"https://asim.vnest.in/","Venture Capital funding for SC/ST students and entrepreneurs."
15,PM Awas Yojana,Housing,Interest Subsidy,"https://pmaymis.gov.in/","Subsidy on Home Loan interest for first-time home buyers."
